id,key,value,type
251103719,junction,yes,regular
251103719,name,Graphite India Junction,regular
251104654,highway,bus_stop,regular
251104654,local_ref,WHITEFIELD,regular
251104654,name,SAP ITPL,regular
251105190,highway,traffic_signals,regular
251145689,highway,traffic_signals,regular
251146209,highway,traffic_signals,regular
251146210,bus,yes,regular
251146210,name,Military Accounts Office,regular
251146210,en,Military Accounts Office,name
251146210,network,BMTC,regular
251146210,operator,BMTC,regular
251146210,public_transport,stop_position,regular
253179978,highway,traffic_signals,regular
253179984,highway,traffic_signals,regular
253179993,highway,traffic_signals,regular
253448528,created_by,JOSM,regular
253448529,created_by,JOSM,regular
253448532,created_by,JOSM,regular
253448533,created_by,JOSM,regular
253448534,created_by,JOSM,regular
253448555,created_by,JOSM,regular
253448557,created_by,JOSM,regular
253448558,created_by,JOSM,regular
253448559,created_by,JOSM,regular
253454059,railway,switch,regular
253454060,railway,switch,regular
253454067,railway,switch,regular
253455812,railway,crossing,regular
253455822,highway,bus_stop,regular
253455822,name,Prajwal School,regular
253455822,kn,ಪ್ರಜ್ವಲ್ ಶಾಲೆ,name
253514964,railway,switch,regular
253514986,internet_access,no,regular
253514986,name,Bellandur Road,regular
253514986,kn,ಬೆಳಂದೂರು ರಸ್ತೆ,name
253514986,network,IR,regular
253514986,operator,SWR,regular
253514986,platforms,2,regular
253514986,railway,halt,regular
253514986,ref,BLRR,regular
253514988,support,pier,bridge
253518979,highway,traffic_signals,regular
253518983,highway,bus_stop,regular
253518983,name,HAL Market,regular
253518983,kn,ಎಚ್ಎಎಲ್ ಮಾರ್ಕೆಟ್,name
253518986,highway,traffic_signals,regular
253518986,name,Rashtrakavi Kuvempu Circle,regular
253518986,kn,ರಾಷ್ಟ್ರಕವಿ ಕುವೆಂಪು ವೃತ್ತ,name
253521393,highway,traffic_signals,regular
253521398,highway,traffic_signals,regular
253521405,highway,traffic_signals,regular
253532874,created_by,JOSM,regular
253532877,created_by,JOSM,regular
253532880,created_by,JOSM,regular
253532896,created_by,JOSM,regular
253532899,created_by,JOSM,regular
253532908,created_by,JOSM,regular
253532919,created_by,JOSM,regular
253532937,created_by,JOSM,regular
253532939,created_by,JOSM,regular
253532942,created_by,JOSM,regular
253533040,created_by,JOSM,regular
253533042,created_by,JOSM,regular
253533043,created_by,JOSM,regular
253890237,bus,yes,regular
253890237,highway,bus_stop,regular
253890237,name,Trinity Circle,regular
253890237,kn,ಟ್ರಿನಿಟಿ ವೃತ್ತ,name
253890237,public_transport,platform,regular
254920223,highway,traffic_signals,regular
254923713,highway,bus_stop,regular
254923713,local_ref,KORAMANGALA RING ROAD,regular
254923713,name,Canara Bank,regular
254923713,kn,ಕೆನರಾ ಬ್ಯಾಂಕ್,name
254923713,public_transport,platform,regular
255558038,highway,traffic_signals,regular
255558038,name,Thippasandra Cross,regular
255558038,kn,ತಿಪ್ಪಸಂದ್ರ ಕ್ರಾಸ್,name
255558064,bus,yes,regular
255558064,highway,bus_stop,regular
255558064,local_ref,Thippasandra,regular
255558064,name,Tippasandra Market,regular
255558064,kn,ತಿಪ್ಪಸಂದ್ರ ಮಾರುಕಟ್ಟೆ,name
255558064,public_transport,platform,regular
255558064,shelter,no,regular
255558064,tactile_paving,no,regular
255558081,highway,traffic_signals,regular
255558081,name,BEML Gate,regular
255558081,kn,ಬೆಮಲ್ ಗೇಟ್,name
260729391,highway,traffic_signals,regular
260729391,name,Sony World Signal,regular
260729391,kn,ಸೋನಿ ವರ್ಲ್ಡ್ ಸಿಗ್ನಲ್,name
260911861,crossing,traffic_signals,regular
260911861,highway,traffic_signals,regular
262268684,highway,traffic_signals,regular
262268684,traffic_signals,signal,regular
263227090,created_by,JOSM,regular
263227103,created_by,JOSM,regular
263227115,amenity,post_office,regular
263227115,created_by,Potlatch 0.10c,regular
263227115,name,Koramangala 3rd Block,regular
263227115,kn,ಕೋರಮಂಗಲ ೩ನೇ ಹಂತ,name
263415864,traffic_calming,hump,regular
